s\a	NEP	CEP	SEP	NWA	CWA	SWA	NEA	CEA	TSA	WIP	CIP	NWP	TAA	EIP
MuSpA	0	1	1	0	0	0	0	0	0	0	0	0	0	0
MuSpB	0	0	0	1	1	0	0	0	0	0	0	0	0	0
MuSpC	0	0	0	0	0	0	0	0	0	0	1	1	0	0
MuSpD	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MuSpE	0	0	0	0	0	0	0	0	1	1	0	0	0	0
MuSpF	0	0	0	0	0	0	0	0	0	0	1	0	1	1
MuSpG	1	1	1	0	0	0	0	0	0	0	0	0	0	0
MuSpH	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MuSpJ	0	0	0	0	0	0	1	1	0	0	0	0	0	0
MuSpK	0	0	0	0	0	0	0	0	0	0	1	0	1	0
MuSpL	0	0	0	0	0	0	0	0	0	0	1	0	1	0
MuSpQ	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MuSpS	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MuSpT	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MuCep	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MuLiz	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MuBan	0	0	0	0	0	0	1	1	0	0	0	0	0	0
