	NEP	CEP	SEP	NWA	CWA	SWA	NEA	CEA	TSA	WIP	CIP	NWP	TAA	EIP
NEP	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP	1	1	1	0	1	0	0	0	0	0	0	0	0	1
SEP	0	1	1	0	0	0	0	0	0	0	0	0	0	0
NWA	0	0	0	1	1	0	1	0	0	0	0	0	0	0
CWA	0	1	0	1	1	1	1	1	0	0	0	0	0	0
SWA	0	0	0	0	1	1	0	0	0	0	0	0	0	0
NEA	0	0	0	1	1	0	1	1	0	0	0	0	0	0
CEA	0	0	0	0	1	0	1	1	1	0	0	0	0	0
TSA	0	0	0	0	0	0	0	1	1	1	0	0	0	0
WIP	0	0	0	0	0	0	0	0	1	1	1	0	0	0
CIP	0	0	0	0	0	0	0	0	0	1	1	1	1	1
NWP	0	0	0	0	0	0	0	0	0	0	1	1	0	0
TAA	0	0	0	0	0	0	0	0	0	0	1	0	1	0
EIP	0	1	0	0	0	0	0	0	0	0	1	0	0	1
