species	sample
MuBan	161_S38
MuLiz	107_S4
MuLiz	110_S9
MuCep	104_S8
MuCep	154_S36
MuCep	155_S25
MuSpS	SRR15214610
MuSpG	22_S1
MuSpA	112_S28
MuSpA	133_S33
MuSpA	113_S32
MuSpH	167_S31
MuSpH	168_S21
MuSpH	170_S22
MuSpK	10_S6
MuSpK	9_S5
MuSpC	121_S10
MuSpC	116_S26
MuSpD	123_S12
MuSpD	122_S11
MuSpE	163_S37
MuSpE	67-75_S20
MuSpE	126_S35
MuSpF	131_S13
MuSpF	132_S14
MuSpJ	140_S24
MuSpJ	141_S15
MuSpJ	139_1-10_S3
MuSpB	114_S29
MuSpB	118_S27
MuSpL	143_S17
MuSpL	142_S16
MuSpQ	147_S34
MuSpQ	148_S30
MuSpQ	149_S18
MucLi	156_S19
MucLi	157_S23
